customer_id,dob,age,age_imputed,gender,location,account_balance,tx_count,total_spend
C1035717,1955-03-17,61,61,F,CHENNAI,82344.03,2,2504.76
C1026137,1993-08-15,23,23,F,MUMBAI,9484.94,2,524.04
C1048801,1990-12-02,26,26,M,PUNE,23636.07,2,1182.09
C1020084,1951-08-23,65,65,M,MUMBAI,17637.14,2,2404.97
C1035571,1978-02-21,38,38,M,MUMBAI,48347.74,5,3556.81
C1017808,1965-09-26,51,51,M,NEW DELHI,9276.70,3,1059.91
C1024941,1970-11-25,46,46,M,HYDERABAD,62639.87,1,652.68
C1013777,1977-10-20,39,39,F,PUNE,4705.49,4,1928.13
C1028926,1970-09-11,46,46,F,BANGALORE,6631.64,5,2481.18
C1039331,1961-02-14,55,55,M,JAIPUR,13710.44,3,2460.81
C1011454,,,42,M,NEW DELHI,22023.88,4,4110.23
C1026717,1956-04-20,60,60,F,GURGAON,86675.20,3,2410.64
C1007061,1959-03-22,57,57,M,AHMEDABAD,13822.13,2,2171.39
C1043414,1973-09-16,43,43,M,MUMBAI,29405.07,5,1294.44
C1037824,1967-07-27,49,49,M,NEW DELHI,8082.54,3,391.28
C1043813,1954-09-01,62,62,M,HYDERABAD,6080.62,6,4350.36
C1046900,1977-07-16,39,39,M,BANGALORE,5374.43,2,1357.15
C1027407,1988-01-25,28,28,M,CHENNAI,209788.96,2,1392.52
C1041236,1990-06-22,26,26,M,GURGAON,27501.35,2,906.76
C1026425,1961-12-23,55,55,M,JAIPUR,2988.70,2,325.27
C1014143,1983-03-25,33,33,M,BANGALORE,5508.18,2,839.80
C1039579,1978-11-23,38,38,M,BANGALORE,2054.76,2,3811.65
C1014076,1989-01-21,27,27,M,PUNE,161074.57,2,1981.17
C1011169,1962-03-19,54,54,M,PUNE,81944.56,3,706.03
C1043441,1983-11-08,33,33,M,INDORE,30022.02,2,542.86
C1040002,1974-08-07,42,42,M,MUMBAI,1662.12,2,545.24
C1046487,1971-03-09,45,45,M,PATNA,33689.44,1,134.98
C1031480,1953-08-20,63,63,F,BANGALORE,48476.14,2,592.21
C1004878,1955-07-20,61,61,M,MUMBAI,34765.71,1,207.14
C1027617,,,42,M,BANGALORE,51105.40,3,2195.02
C1010115,,,42,M,KOLKATA,47187.95,7,4447.56
C1003236,1964-03-03,52,52,M,LUCKNOW,6411.67,5,3511.39
C1040444,1960-03-26,56,56,M,MUMBAI,3845.50,4,992.97
C1031617,1958-07-18,58,58,M,BANGALORE,21668.05,3,4442.05
C1006333,1969-08-25,47,47,F,INDORE,10389.29,3,952.39
C1036985,1987-01-02,29,29,M,CHENNAI,23496.81,3,690.56
C1022013,1979-04-05,37,37,F,MUMBAI,47427.00,2,1694.20
C1005689,1987-12-10,29,29,M,KOLKATA,9895.54,3,4860.02
C1043687,1998-03-09,18,18,F,HYDERABAD,5486.77,2,469.07
C1047090,1986-01-12,30,30,F,PUNE,103435.96,2,364.13
C1025675,1966-03-09,50,50,M,HYDERABAD,9236.51,4,26220.68
C1011922,1953-11-04,63,63,M,BANGALORE,13482.30,3,5425.73
C1049075,1969-06-02,47,47,M,MUMBAI,4629.28,1,231.01
C1006430,1996-06-03,20,20,M,SURAT,67257.98,2,521.41
C1023047,1972-12-23,44,44,M,BANGALORE,8575.52,1,820.39
C1001611,1951-10-18,65,65,M,GURGAON,669418.51,2,435.41
C1043513,1974-04-02,42,42,M,CHENNAI,67849.81,1,105.03
C1007194,,,42,M,PUNE,28789.05,3,1843.47
C1014624,1956-01-02,60,60,M,PUNE,31163.85,2,3592.26
C1013003,1952-10-28,64,64,M,BANGALORE,18310.65,2,4842.64
C1005882,1997-09-16,19,19,M,CHENNAI,56020.01,2,2801.75
C1029161,,,42,M,MUMBAI,17279.21,2,1290.13
C1030953,1973-04-19,43,43,M,NEW DELHI,16299.97,2,1945.01
C1006860,1970-09-18,46,46,M,KOLKATA,12510.92,5,1889.20
C1003659,1981-09-28,35,35,M,HYDERABAD,15575.55,2,1072.75
C1031507,,,42,F,PUNE,15692.27,1,788.62
C1038279,1954-05-02,62,62,M,NEW DELHI,17492.27,4,608.82
C1007646,1986-11-28,30,30,M,BANGALORE,125517.42,4,3658.57
C1020267,1979-10-26,37,37,M,MUMBAI,3722.00,2,2839.09
C1025386,,,42,M,BANGALORE,49454.01,1,41.16
C1037103,1958-10-14,58,58,M,PUNE,43634.72,3,522.34
C1013441,1976-02-12,40,40,M,NEW DELHI,16909.25,4,885.56
C1034344,1951-04-06,65,65,F,HYDERABAD,21122.20,3,2599.59
C1019518,1951-01-18,65,65,M,MUMBAI,27973.82,1,1987.19
C1001590,1967-04-19,49,49,M,HYDERABAD,7404.46,2,2360.60
C1002528,1956-06-15,60,60,F,BANGALORE,32307.24,3,1161.36
C1008602,1968-02-05,48,48,M,HYDERABAD,5974.03,1,535.07
C1033073,1991-11-04,25,25,F,NEW DELHI,19649.46,5,1736.90
C1045417,1964-04-11,52,52,F,HYDERABAD,19435.88,3,2671.97
C1010809,1951-09-22,65,65,M,BANGALORE,8471.39,4,2198.89
C1017113,1958-11-26,58,58,M,PUNE,10431.97,2,6286.23
C1034329,1967-11-14,49,49,M,GURGAON,32819.50,2,1915.09
C1021370,1962-11-23,54,54,F,HYDERABAD,10684.45,2,762.72
C1042685,1979-10-20,37,37,M,NEW DELHI,4402.50,2,521.91
C1010022,1969-01-21,47,47,F,MUMBAI,4850.35,3,687.07
C1047967,,,42,M,MUMBAI,23570.52,2,314.46
C1035865,1972-10-07,44,44,M,KOLKATA,19004.03,2,1124.13
C1000871,1966-05-06,50,50,F,GURGAON,85114.43,1,2486.13
C1007214,1994-07-05,22,22,M,BANGALORE,41475.22,6,2073.34
C1006077,1984-04-10,32,32,M,MUMBAI,11983.50,3,1372.23
C1027769,1952-09-05,64,64,M,PUNE,29721.39,4,2205.81
C1008680,1975-03-23,41,41,F,BANGALORE,24334.92,2,510.72
C1023678,1971-10-24,45,45,M,MUMBAI,13950.60,4,4232.00
C1021953,1975-10-17,41,41,M,PUNE,5403.16,4,3328.00
C1018424,1976-08-16,40,40,M,NEW DELHI,7915.61,5,2423.45
C1048228,1980-08-22,36,36,F,CHENNAI,2975.15,3,1872.28
C1041762,1992-08-21,24,24,M,NOIDA,6587.07,3,550.80
C1027388,1959-09-01,57,57,M,NEW DELHI,31844.01,3,2035.33
C1016163,,,42,M,NOIDA,2667.10,2,1473.70
C1027831,1986-05-27,30,30,M,MUMBAI,56176.88,3,1383.34
C1002406,1998-02-02,18,18,F,THANE,177673.05,4,1505.86
C1026128,1959-01-26,57,57,M,NEW DELHI,7534.96,4,3374.97
C1029079,1966-06-05,50,50,M,KOLKATA,20455.43,2,1250.87
C1009159,1983-12-18,33,33,F,GURGAON,13205.46,2,636.70
C1022210,1990-09-06,26,26,F,THANE,45959.71,3,817.20
C1032520,,,42,M,MUMBAI,24670.77,2,767.21
C1045283,1975-05-27,41,41,M,BANGALORE,22452.15,5,3431.42
C1049711,1978-11-02,38,38,M,NEW DELHI,11647.43,5,2516.71
C1009722,1993-10-01,23,23,F,BANGALORE,5654.91,5,2545.69
C1016850,1991-12-05,25,25,M,GURGAON,23516.41,4,1073.86
C1031741,1994-06-01,22,22,F,HYDERABAD,19935.24,5,2474.49
C1014949,1952-12-06,64,64,F,AHMEDABAD,11553.52,6,7524.14
C1035260,,,42,M,NOIDA,11939.08,1,538.77
C1030065,1994-12-02,22,22,F,HYDERABAD,69173.06,3,1115.38
C1026075,1988-10-02,28,28,M,BANGALORE,4180.38,1,240.26
C1017181,1960-01-12,56,56,M,GURGAON,15590.01,4,980.84
C1014184,1956-12-14,60,60,M,PUNE,151211.08,2,635.63
C1025011,1966-03-02,50,50,M,PUNE,20347.58,2,241.27
C1042773,,,42,M,MUMBAI,43848.04,6,3942.66
C1012827,1986-07-06,30,30,F,JAIPUR,4659.02,1,220.31
C1001926,1995-07-11,21,21,F,KOLKATA,36406.37,3,2889.99
C1046120,1958-02-10,58,58,F,BANGALORE,6525.72,2,1707.80
C1043342,1972-04-01,44,44,F,CHENNAI,10373.38,4,3964.72
C1010252,1957-10-20,59,59,M,NEW DELHI,17005.76,2,8105.51
C1047115,1965-11-17,51,51,F,BANGALORE,22747.93,2,4048.20
C1028369,1988-10-13,28,28,F,BANGALORE,4693.13,2,371.44
C1021938,1971-08-21,45,45,M,MUMBAI,9014.04,4,4896.88
C1049242,1980-10-10,36,36,M,KOLKATA,4669.61,4,875.05
C1001166,1980-09-02,36,36,F,BANGALORE,6636.03,2,539.64
C1021914,1981-10-19,35,35,M,PUNE,18866.05,3,3755.98
C1013339,1998-12-26,18,18,M,CHENNAI,12136.57,5,2993.47
C1018496,1986-10-19,30,30,F,GURGAON,197220.66,2,243.63
C1034922,1978-07-06,38,38,M,PUNE,19282.96,4,1029.73
C1019466,1969-04-13,47,47,M,LUCKNOW,7187.15,4,620.09
C1022309,1993-02-23,23,23,M,NEW DELHI,4275.62,5,1133.70
C1003939,1987-11-11,29,29,M,CHENNAI,14769.10,3,2283.97
C1009531,1973-11-26,43,43,M,CHENNAI,3871.65,2,6739.11
C1004370,1988-11-27,28,28,M,HYDERABAD,153793.39,4,2749.78
C1049050,1985-01-23,31,31,M,CHENNAI,28928.16,4,2862.52
C1033881,1977-12-18,39,39,F,PUNE,15781.27,5,9008.80
C1045628,1957-02-13,59,59,M,KOLKATA,10366.08,3,618.84
C1041343,1966-09-04,50,50,F,LUCKNOW,9770.05,3,2001.13
C1040038,1957-11-23,59,59,F,MUMBAI,28325.22,2,5149.94
C1045456,,,42,F,BANGALORE,12581.81,5,3245.54
C1041975,1953-09-02,63,63,M,HYDERABAD,21905.57,7,4410.44
C1000567,1968-08-10,48,48,M,KOLKATA,9299.21,6,4479.11
C1025249,1961-11-05,55,55,M,MUMBAI,17838.92,2,1265.65
C1019858,1994-01-07,22,22,M,MUMBAI,12803.63,5,1928.46
C1006564,1968-09-27,48,48,M,KOLKATA,21030.23,1,1563.54
C1026281,1987-11-28,29,29,F,NEW DELHI,14565.84,3,748.21
C1008670,1987-12-22,29,29,M,NEW DELHI,5514.13,5,5554.67
C1041802,1987-04-28,29,29,M,BANGALORE,4458.28,5,3519.94
C1049206,1980-08-16,36,36,F,NEW DELHI,10387.94,1,411.17
C1024544,,,42,M,GURGAON,6702.44,5,6298.19
C1007300,1961-03-25,55,55,M,NEW DELHI,6398.43,4,1295.87
C1045653,,,42,M,CHENNAI,6481.61,3,4437.03
C1038881,1955-01-11,61,61,F,HYDERABAD,10104.95,1,313.64
C1003696,1973-08-24,43,43,M,NEW DELHI,48932.57,2,898.74
C1042786,1981-12-02,35,35,M,KOLKATA,121349.03,2,334.36
C1004095,1997-11-28,19,19,M,BANGALORE,213213.11,4,2893.13
C1017047,1955-06-27,61,61,M,MUMBAI,12867.68,3,2190.95
C1022048,1981-01-12,35,35,F,BANGALORE,9315.52,2,404.30
C1038341,1974-05-05,42,42,M,NEW DELHI,9820.70,4,5776.59
C1048742,1956-10-02,60,60,M,KOLKATA,24792.26,3,1058.21
C1036705,,,42,F,BANGALORE,11952.40,2,2469.41
C1031035,1953-11-22,63,63,M,HYDERABAD,17441.38,2,1721.56
C1002522,1974-02-28,42,42,M,MUMBAI,12142.22,5,1439.57
C1012294,1975-01-01,41,41,F,NEW DELHI,17325.72,2,398.34
C1000300,1966-06-18,50,50,UNKNOWN,THANE,62091.97,1,94.99
C1003409,1971-01-22,45,45,M,THANE,23038.76,1,180.75
C1000443,1993-10-26,23,23,M,INDORE,7099.07,3,4796.08
C1026624,1962-02-21,54,54,M,NEW DELHI,8927.62,2,1140.55
C1011290,1962-09-11,54,54,F,CHENNAI,12001.90,4,3235.61
C1028339,1960-04-19,56,56,M,NEW DELHI,5603.13,3,2985.21
C1020854,1969-10-08,47,47,F,PUNE,4129.54,4,8155.21
C1040994,1998-07-18,18,18,F,BANGALORE,12506.58,3,2024.37
C1040086,1995-10-23,21,21,M,AHMEDABAD,6111.84,4,735.64
C1003349,1994-07-07,22,22,F,HYDERABAD,4298.95,4,3064.75
C1011183,1978-11-06,38,38,M,NEW DELHI,62247.14,2,279.54
C1047651,1985-12-24,31,31,F,MUMBAI,5720.21,4,936.00
C1020608,1973-01-05,43,43,M,BANGALORE,14716.59,1,2882.52
C1026554,1971-09-10,45,45,M,SURAT,22872.46,4,5954.72
C1008809,1987-11-04,29,29,M,AHMEDABAD,7634.26,3,1893.70
C1006486,1951-09-27,65,65,M,BANGALORE,41482.55,2,1541.77
C1034142,1956-02-11,60,60,F,AHMEDABAD,10500.74,1,1929.59
C1037112,1996-06-03,20,20,F,MUMBAI,27519.71,1,1556.89
C1029656,1977-12-06,39,39,M,MUMBAI,4124.93,3,2416.11
C1012748,1979-04-05,37,37,F,CHENNAI,8498.18,3,1677.57
C1023703,1982-08-19,34,34,F,HYDERABAD,3538.81,2,2640.15
C1039730,1985-05-23,31,31,M,PUNE,14862.72,5,4260.87
C1035318,,,42,M,BANGALORE,22353.47,2,1626.99
C1017525,,,42,F,NEW DELHI,32357.48,3,2189.37
C1008994,1961-08-04,55,55,M,BANGALORE,11713.08,2,1947.75
C1042995,1960-04-08,56,56,M,INDORE,8590.70,5,6532.05
C1036337,1998-01-04,18,18,M,PUNE,85751.14,2,363.00
C1000743,1986-04-04,30,30,M,CHENNAI,105784.45,2,654.32
C1019556,1953-12-20,63,63,M,HYDERABAD,100356.03,1,175.26
C1041462,1988-06-02,28,28,F,THANE,9522.06,4,3400.71
C1003376,1953-08-23,63,63,M,HYDERABAD,32746.23,2,396.81
C1024930,1972-06-05,44,44,M,MUMBAI,39358.04,4,1121.90
C1015164,1977-11-21,39,39,M,INDORE,44222.40,4,1856.23
C1036379,1984-05-26,32,32,F,NOIDA,20318.22,1,742.80
C1048500,1972-03-24,44,44,M,MUMBAI,18433.41,3,2458.61
C1013495,,,42,M,CHENNAI,48668.27,5,3674.61
C1038500,1960-02-16,56,56,M,MUMBAI,13351.82,4,2488.62
C1025076,1990-04-15,26,26,M,AHMEDABAD,8399.21,5,3120.01
C1008875,1957-08-01,59,59,M,PUNE,89239.21,2,1395.16
C1030248,,,42,F,BANGALORE,60728.32,2,311.56
C1048269,1984-07-21,32,32,M,KOLKATA,10437.95,2,1144.22
C1043827,1962-09-27,54,54,M,HYDERABAD,10070.94,2,740.37
C1049392,1975-03-15,41,41,F,BANGALORE,12889.84,2,1379.06
C1011946,1966-02-07,50,50,M,MUMBAI,33872.22,5,6308.57
C1040932,1965-10-10,51,51,M,MUMBAI,5059.75,4,10264.88
C1028671,1962-12-03,54,54,M,NEW DELHI,70172.81,2,1143.27
C1027011,1967-09-16,49,49,M,SURAT,7579.96,4,3539.30
C1028600,1959-08-04,57,57,M,NEW DELHI,2409.02,1,320.63
C1033261,1977-12-01,39,39,M,PUNE,6282.73,1,304.41
C1034086,1957-11-17,59,59,M,CHENNAI,45741.58,2,3608.69
C1001817,1984-04-25,32,32,M,AHMEDABAD,5706.54,3,5625.12
C1028573,1958-11-20,58,58,M,CHENNAI,15381.11,4,2440.43
C1007977,1961-07-26,55,55,M,NEW DELHI,11792.17,2,209.16
C1032924,1955-01-05,61,61,M,AHMEDABAD,49647.41,4,7323.73
C1048470,1965-02-25,51,51,M,NEW DELHI,27004.15,4,3805.46
C1002429,1956-05-17,60,60,UNKNOWN,BANGALORE,6929.69,4,5302.24
C1027411,1951-08-10,65,65,M,BANGALORE,23141.67,2,2953.81
C1036267,1960-10-15,56,56,M,KOLKATA,233477.70,3,9352.02
C1017214,1971-01-03,45,45,M,MUMBAI,8669.71,3,5645.79
C1032594,1985-04-15,31,31,F,MUMBAI,9687.23,2,1285.39
C1019075,1975-10-27,41,41,M,PATNA,39740.22,3,3277.53
C1044993,1973-05-01,43,43,M,HYDERABAD,7924.95,3,716.16
C1006227,1994-11-16,22,22,F,PUNE,67110.77,3,2139.04
C1021161,1990-03-18,26,26,M,CHENNAI,31135.18,4,2120.10
C1040123,1951-06-27,65,65,F,NEW DELHI,6364.20,4,2127.57
C1037425,1977-01-10,39,39,M,BANGALORE,4267.07,2,626.56
C1043941,,,42,M,NEW DELHI,23360.22,5,2836.80
C1014387,1951-03-26,65,65,F,NOIDA,72565.42,4,3586.05
C1039550,1958-01-24,58,58,M,NEW DELHI,27178.14,1,321.17
C1028112,,,42,M,BANGALORE,55205.54,3,5849.14
C1012475,1958-09-28,58,58,M,GURGAON,0.00,4,3483.55
C1016024,1995-01-24,21,21,M,HYDERABAD,4413.98,2,1081.72
C1026447,1986-12-07,30,30,M,HYDERABAD,13695.62,3,1019.81
C1037227,1976-07-13,40,40,F,MUMBAI,16457.82,3,1410.85
C1043016,1958-05-19,58,58,M,NEW DELHI,9145.80,2,3677.16
C1034371,1965-11-27,51,51,M,KOLKATA,19408.13,3,826.06
C1030254,1960-02-14,56,56,M,MUMBAI,10309.14,1,44.13
C1024999,,,42,M,KOLKATA,7667.75,2,627.81
C1037364,1960-02-25,56,56,M,KOLKATA,14925.23,2,2329.76
C1017848,1954-03-24,62,62,M,MUMBAI,4722.90,3,1498.35
C1045962,1957-12-04,59,59,F,CHENNAI,6058.36,3,741.57
C1020771,1995-11-14,21,21,M,PUNE,10688.05,3,2559.63
C1035170,1966-02-14,50,50,M,JAIPUR,17252.38,4,651.14
C1009992,,,42,M,CHENNAI,9163.36,3,561.36
C1035474,1996-05-28,20,20,M,GURGAON,43127.78,4,1404.98
C1006778,1976-12-18,40,40,M,GURGAON,22477.62,2,923.15
C1036318,1985-01-18,31,31,F,NEW DELHI,63158.24,4,5076.08
C1031122,1997-01-04,19,19,F,CHENNAI,59166.62,2,1309.38
C1028379,1963-10-26,53,53,M,GURGAON,2357.85,4,1524.12
C1038669,1953-05-04,63,63,F,NEW DELHI,24969.88,4,4059.53
C1019909,1984-07-12,32,32,M,GURGAON,3915.45,2,588.64
C1007651,1991-12-22,25,25,M,BANGALORE,17786.50,5,7565.06
C1019245,1978-11-04,38,38,M,MUMBAI,14889.76,3,1292.51
C1029659,1963-06-13,53,53,M,MUMBAI,203608.34,2,3261.49
C1038166,1976-09-14,40,40,M,AHMEDABAD,31935.29,2,2608.23
C1037175,1977-10-12,39,39,M,BANGALORE,13806.50,2,1197.16
C1003549,1976-08-11,40,40,M,GURGAON,15089.36,3,2113.40
C1028329,1964-12-24,52,52,M,SURAT,5696.83,3,1309.38
C1032902,1983-02-25,33,33,M,HYDERABAD,10305.22,4,832.34
C1009704,1988-08-25,28,28,M,GURGAON,19385.35,2,1695.66
C1018234,,,42,F,BANGALORE,5200.78,4,1467.37
C1043593,1983-07-05,33,33,M,BANGALORE,17574.14,3,2339.15
C1020421,1978-09-23,38,38,M,CHENNAI,25221.56,1,1594.18
C1031203,1979-05-12,37,37,F,MUMBAI,31105.51,3,604.43
C1004972,1973-12-27,43,43,F,CHENNAI,23997.88,2,871.13
C1030073,1962-05-24,54,54,M,THANE,8916.48,3,1992.83
C1038726,1960-12-08,56,56,M,SURAT,37392.47,1,154.30
C1041548,1971-01-02,45,45,M,PUNE,19329.21,2,2295.02
C1037105,1967-04-26,49,49,M,NEW DELHI,1403.83,2,134.92
C1017048,1980-08-10,36,36,M,LUCKNOW,13465.25,2,819.99
C1004677,1953-02-03,63,63,M,NEW DELHI,23765.64,6,11871.96
C1035625,1981-03-21,35,35,M,THANE,7110.82,4,2093.38
C1033095,1975-06-17,41,41,M,NEW DELHI,6262.18,4,1153.65
C1018845,1952-05-23,64,64,M,CHENNAI,9291.29,6,3351.51
C1028417,1998-04-09,18,18,M,NEW DELHI,7827.37,3,1097.37
C1007416,,,42,M,HYDERABAD,17921.32,2,3996.30
C1006580,1952-11-08,64,64,F,BANGALORE,38599.55,2,2112.82
C1009861,1996-01-14,20,20,M,AHMEDABAD,9848.86,4,3874.94
C1000848,1987-03-01,29,29,F,MUMBAI,166220.70,2,393.12
C1027592,1960-05-22,56,56,M,PUNE,8784.93,1,393.72
C1044333,1957-06-27,59,59,M,AHMEDABAD,8672.67,2,476.24
C1026287,1972-12-27,44,44,F,HYDERABAD,24567.80,5,7942.17
C1036684,,,42,M,SURAT,2836.40,4,4549.75
C1019383,1997-12-14,19,19,F,CHENNAI,9887.84,2,3538.19
C1005143,1986-02-16,30,30,M,MUMBAI,27949.42,6,2897.60
C1039517,1995-07-13,21,21,M,THANE,28709.20,3,4961.11
C1039493,1955-02-25,61,61,M,PATNA,11171.60,1,3510.38
C1023896,1994-02-12,22,22,M,BANGALORE,4065.36,6,3086.60
C1038484,1952-05-08,64,64,F,NOIDA,16065.74,1,741.86
C1008859,1969-12-24,47,47,M,MUMBAI,34759.37,3,2339.49
C1003092,1994-10-21,22,22,M,JAIPUR,13756.54,4,3807.52
C1035059,1976-07-09,40,40,M,PUNE,5534.35,4,1903.34
C1001911,1983-08-09,33,33,M,MUMBAI,126722.20,1,1394.47
C1008687,1978-04-27,38,38,F,MUMBAI,14773.98,4,3860.08
C1022252,1968-07-23,48,48,M,NEW DELHI,30902.07,3,3929.70
C1009940,1995-04-28,21,21,M,MUMBAI,10348.61,3,809.41
C1012770,1963-01-12,53,53,M,CHENNAI,22562.32,5,3238.24
C1036650,1952-04-09,64,64,M,CHENNAI,35736.05,2,1169.87
C1021140,,,42,M,MUMBAI,13814.72,2,1190.84
C1012649,1967-10-18,49,49,M,MUMBAI,51710.42,4,3260.84
C1017465,1985-01-10,31,31,F,LUCKNOW,8339.25,3,1024.57
C1041610,1983-03-07,33,33,M,HYDERABAD,62702.09,5,2585.91
C1048982,1957-05-12,59,59,M,CHENNAI,6631.60,1,177.08
C1006552,1983-06-28,33,33,M,THANE,26176.22,5,10811.48
C1001382,1997-06-14,19,19,M,MUMBAI,40834.77,7,4098.72
C1034524,,,42,M,MUMBAI,10993.33,2,259.76
C1006719,1964-07-04,52,52,F,NEW DELHI,3862.60,2,645.08
C1036723,,,42,M,BANGALORE,13929.43,2,1008.29
C1041908,1998-10-28,18,18,F,BANGALORE,94739.97,3,5759.77
C1014240,1990-02-18,26,26,M,CHENNAI,2203.29,4,3701.43
C1044587,1973-03-14,43,43,M,BANGALORE,8256.12,3,2317.97
C1021057,1961-01-14,55,55,M,INDORE,5339.45,3,2993.97
C1046298,1962-12-10,54,54,F,CHENNAI,19189.76,2,448.69
